Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/SignUp_TC09,Chrome 120.0.0.0,Sign Up Process,,2024-01-06 03:29:38,2024-01-06 03:29:50,12.367s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-06 03:29:39,2024-01-06 03:29:41,2.872s,PASSED
"navigateToUrl(""https://www.jotform.com/"")",Chrome 120.0.0.0,,,2024-01-06 03:29:41,2024-01-06 03:29:44,3.109s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/a_Sign Up for Free""))",Chrome 120.0.0.0,,,2024-01-06 03:29:44,2024-01-06 03:29:45,0.764s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/button_Sign up with Email""))",Chrome 120.0.0.0,,,2024-01-06 03:29:45,2024-01-06 03:29:48,2.428s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Name_name""), Name)",Chrome 120.0.0.0,,,2024-01-06 03:29:48,2024-01-06 03:29:49,1.271s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Email_email""), Email)",Chrome 120.0.0.0,,,2024-01-06 03:29:49,2024-01-06 03:29:50,0.979s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Password_pass""), Password)",Chrome 120.0.0.0,,,2024-01-06 03:29:50,2024-01-06 03:29:50,0.248s,FAILED
,,,,,,,
Test Cases/SignUp_TC10,Chrome 120.0.0.0,Sign Up Process,,2024-01-06 03:29:50,2024-01-06 03:30:01,11.114s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-06 03:29:51,2024-01-06 03:29:54,3.033s,PASSED
"navigateToUrl(""https://www.jotform.com/"")",Chrome 120.0.0.0,,,2024-01-06 03:29:54,2024-01-06 03:29:54,0.406s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/a_Sign Up for Free""))",Chrome 120.0.0.0,,,2024-01-06 03:29:54,2024-01-06 03:29:57,2.219s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/button_Sign up with Email""))",Chrome 120.0.0.0,,,2024-01-06 03:29:57,2024-01-06 03:29:59,2.198s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Name_name""), Name)",Chrome 120.0.0.0,,,2024-01-06 03:29:59,2024-01-06 03:30:00,1.262s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Email_email""), Email)",Chrome 120.0.0.0,,,2024-01-06 03:30:00,2024-01-06 03:30:01,1.079s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Password_pass""), Password)",Chrome 120.0.0.0,,,2024-01-06 03:30:01,2024-01-06 03:30:01,0.272s,FAILED
